tag,volumen
"2015_3_16_10","4"
"2015_3_16_13","5"
"2015_3_16_9","4.722222222222222"
"2015_3_17_11","3"
"2015_3_17_12","2.75"
"2015_3_17_9","5.055555555555555"
"2015_4_20_11","3.526315789473684"
"2015_4_20_13","4.916666666666667"
"2015_4_20_9","4.714285714285714"
"2015_4_22_10","3.5454545454545454"
"2015_4_22_13","6.2727272727272725"
"2015_4_22_8","4.2727272727272725"
"2015_4_28_12","4.8125"
"2015_4_29_10","3"
"2015_4_29_13","6.2272727272727275"
"2015_4_29_8","3.1818181818181817"
"2015_4_30_10","3"
"2015_4_30_13","2.6666666666666665"
"2015_4_30_9","3.9444444444444446"
"2015_5_4_11","4.473684210526316"
"2015_5_4_13","5.083333333333333"
"2015_5_4_9","4.55"
"2015_5_5_12","4.818181818181818"
"2015_5_8_11","4.380952380952381"
"2015_5_8_13","3.4444444444444446"
"2015_5_8_9","4.3125"
